asset_id,main_type,sub_type,modifiers
33127,S,c,"['r', '?']"
151047,S,b,[]
219243,SB,c,[]
75285,SB,c,['r']
25086,SB,c,[]
242145,S,b,['r']
221639,S,c,[]
127438,S,c,['m']
98768,S,c,['?']
150955,S,b,['r']
198050,SB,b,"['r', '?']"
174683,S,b,['r']
130379,S,d,['i']
73639,SB,c,['+']
260210,S,c,['m']
224429,SB,b,['?']
128744,S,b,[]
224886,SB,c,['+']
225549,S,c,['?']
263014,S,d,['?']
130378,S,a,[]
67360,S,b,['r']
55410,E,c,[]
63344,S,c,['+']
258325,SB,c,['+']
113402,SB,b,['?']
184067,S,b,[]
265709,S,c,['i']
21141,S,b,[]
215781,S,d,['?']
141422,S,b,"['r', '?']"
275469,S,c,['+']
271220,SB,c,['?']
66991,SB,b,['r']
209777,S,d,['?']
34409,SB,b,[]
198847,SB,b,['r']
186767,S,b,[]
264754,S,c,['?']
75725,S,b,[]
91378,S,b,[]
162259,S,b,[]
118950,SB,b,[]
200790,SB,c,['+']
61372,SB,c,['+']
200761,S,c,['+']
44335,S,b,[]
87177,S,b,[]
164782,S,b,['r']
38572,SB,b,['+']
222265,S,b,['r']
270588,SB,c,[]
118332,SB,d,[]
210455,SB,b,['?']
195162,S,b,"['r', '?']"
197775,S,c,['+']
61000,SB,c,['?']
81070,SB,b,[]
291687,E,c,[]
242674,S,c,[]
211200,S,d,['i']
58957,S,c,['+']
227134,S,c,['?']
221235,S,c,[]
118555,S,b,['+']
226530,S,b,['?']
55773,S,c,['+']
117757,SB,c,[]
154163,S,d,"['o', '?']"
151425,S,c,['?']
791,S,c,['+']
193641,S,b,['+']
254837,S,c,['?']
272121,SB,c,[]
207704,S,c,[]
53385,S,c,[]
154825,S,c,['+']
231967,S,c,[]
158211,SB,c,['?']
281736,SB,c,['r']
221805,S,c,['r']
281704,S,b,['+']
127572,SB,c,['+']
237880,S,b,['?']
254453,S,c,['?']
8024,S,c,[]
265630,S,d,['i']
182244,S,c,[]
22535,SB,c,['+']
30626,SB,b,['+']
19518,E,c,[]
151913,S,b,[]
158585,E,c,[]
273835,SB,b,['?']
120565,S,b,['i']
34758,S,b,[]
174490,SB,b,['m']
156542,S,c,['?']
39961,E,c,[]
82997,SB,b,['r']
116985,SB,b,[]
225202,E,c,[]
12657,S,c,['+']
239971,E,c,[]
222827,SB,c,[]
79195,SB,c,[]
153067,SB,c,['?']
228612,SB,b,['?']
152890,S,b,['r']
157010,S,c,['+']
6493,SB,b,[]
50254,S,a,['o']
154800,S,c,[]
155692,SB,b,['?']
250148,S,b,[]
281652,S,c,['+']
116947,SB,c,['+']
221985,S,b,['r']
79852,S,b,[]
30903,E,c,[]
118599,S,b,['+']
132197,S,b,['?']
251741,S,c,['+']
260303,S,c,['?']
241966,S,c,['r']
207686,S,b,['?']
200519,SB,b,['r']
158426,SB,c,['+']
210340,S,c,['r']
158501,S,c,[]
143698,SB,c,[]
242495,S,c,['?']
199371,S,c,[]
204236,S,b,['?']
221797,S,c,[]
118763,E,c,[]
47974,S,c,['?']
73194,SB,b,['+']
143432,SB,b,['d']
253472,S,b,[]
194421,S,c,['?']
271756,SB,c,['?']
159218,S,b,[]
240077,SB,c,['+']
18470,S,b,[]
49157,S,b,['?']
66680,S,c,[]
20407,S,c,['?']
211331,SB,c,[]
191480,S,c,['?']
156659,S,b,['r']
1814,SB,b,['r']
195698,SB,c,[]
261994,S,b,['u']
213777,S,c,[]
244880,S,c,['+']
262735,S,c,[]
87614,S,b,['+']
55610,SB,b,[]
19625,SB,b,"['r', '?']"
136441,SB,b,['o']
158415,S,b,['?']
149784,S,c,['+']
174294,S,c,[]
116998,S,c,[]
291388,S,b,[]
176551,SB,b,['+']
228246,S,b,['r']
232416,S,b,"['m', '?']"
291312,S,c,[]
209742,SB,c,[]
179265,SB,b,['?']
47197,S,b,['?']
160159,S,b,[]
130880,SB,b,[]
143900,SB,c,[]
212252,S,b,[]
170525,S,c,[]
34968,SB,b,[]
109367,SB,b,['r']
257755,S,c,['?']
123802,SB,c,[]
122727,S,b,[]
273594,SB,c,['d']
187416,S,b,['?']
149170,S,b,[]
152371,S,c,[]
153800,S,b,['?']
56949,S,c,['+']
144538,S,b,['?']
124219,SB,c,[]
152278,SB,b,[]
55583,S,c,[]
274082,S,c,[]
238575,SB,b,['o']
162364,S,b,['r']
116025,S,b,['?']
86331,S,b,[]
14328,SB,c,['r']
154579,SB,c,['?']
168606,SB,b,[]
265995,SB,b,['+']
99101,S,c,['+']
107077,S,c,['?']
154664,S,c,[]
86385,S,b,[]
170195,S,b,[]
76334,S,c,['+']
266804,SB,c,['?']
120492,E,c,[]
63158,SB,c,['?']
98229,S,b,[]
283486,S,c,[]
168095,S,b,['+']
67636,SB,b,[]
57567,S,c,[]
92842,S,b,['i']
294472,S,c,[]
226199,S,b,['r']
207384,S,b,['r']
220021,SB,b,['r']
23908,S,c,['?']
28034,S,c,[]
250983,S,d,['o']
284797,SB,b,[]
242682,S,d,['o']
128883,S,b,['r']
170372,S,b,['?']
199616,S,c,[]
63937,SB,b,['r']
134735,SB,c,[]
276511,S,b,['+']
63047,SB,b,['o']
73638,SB,b,['?']
246750,S,c,['i']
185622,S,b,[]
179361,S,b,[]
210177,S,b,[]
282120,SB,c,[]
204377,SB,d,['i']
77434,Unknown,A,[]
59316,S,c,['?']
182485,SB,b,['+']
290040,S,b,['?']
225012,S,b,['?']
210247,SB,c,"['r', '?']"
94950,S,c,['m']
123180,S,b,['l']
221590,S,c,['+']
263639,S,b,['?']
271215,S,b,[]
251971,SB,c,['+']
271509,S,d,"['i', '?']"
283785,S,b,[]
175403,S,b,[]
106029,S,c,[]
269528,SB,d,['i']
15008,SB,c,['r']
78497,S,b,[]
248007,SB,c,[]
10809,SB,b,[]
124566,S,d,['i']
16296,S,b,[]
198891,S,c,['?']
47071,S,a,"['i', '?']"
50962,S,b,['?']
291497,S,b,[]
53290,SB,b,[]
237025,S,b,['?']
66488,S,c,['?']
284370,S,b,['r']
90312,S,c,[]
273664,S,b,[]
165125,S,b,[]
12667,S,c,['+']
261111,S,c,[]
191175,S,b,['r']
50188,S,c,[]
161248,S,b,['?']
159683,SB,b,['r']
130971,SB,c,['r']
30423,S,b,['?']
86383,S,a,['r']
230946,S,c,[]
155965,SB,b,[]
155738,S,c,['?']
188745,S,b,[]
106313,S,c,"['i', '?']"
65272,SB,b,[]
69945,S,c,['?']
8158,S,c,"['i', '?']"
168617,SB,c,[]
97716,S,c,['?']
285093,S,b,[]
65501,S,b,['?']
179237,S,b,['?']
120747,S,b,[]
65173,S,b,[]
265424,S,d,"['i', '?']"
195032,S,c,['?']
178859,S,b,['?']
294481,S,b,['?']
112519,S,b,['r']
115271,SB,b,[]
144069,S,b,[]
66989,SB,a,['m']
158437,SB,c,['?']
215343,S,c,['?']
236281,S,c,['?']
161199,S,c,['?']
163569,S,c,['?']
128313,S,c,['?']
251739,S,c,['?']
246181,S,c,['i']
233063,S,b,['?']
197603,S,b,"['r', '?']"
73276,SB,c,[]
270440,SB,d,['?']
20450,S,c,['?']
153884,S,c,[]
78135,SB,d,[]
26008,S,c,[]
135210,S,b,[]
158561,SB,b,[]
200155,S,c,['r']
153591,S,c,['r']
111085,S,b,[]
186079,S,c,['+']
164998,SB,b,[]
77314,E,c,[]
148316,E,c,[]
229296,SB,b,[]
260362,S,d,['?']
241083,SB,b,['+']
215536,S,b,['?']
97771,S,b,[]
240111,S,b,['?']
216473,SB,b,['?']
259784,S,d,[]
220179,SB,c,"['r', '?']"
133847,S,b,['o']
156374,S,c,"['o', '?']"
194212,SB,b,[]
221821,SB,d,['i']
124556,SB,c,[]
150963,S,b,['+']
176188,SB,b,[]
128368,S,c,"['i', '?']"
211487,SB,d,[]
216230,S,c,['+']
117778,SB,b,[]
39292,SB,c,[]
135220,SB,c,[]
122681,S,c,['?']
133710,S,c,[]
132997,SB,b,[]
80501,S,c,['+']
136177,SB,b,['r']
175908,S,c,['?']
114542,S,b,['r']
178875,SB,b,[]
40692,S,c,[]
101940,S,c,['m']
240861,S,b,['d']
30828,S,c,[]
237994,S,c,['?']
179032,SB,b,['+']
284395,S,b,[]
117666,SB,c,"['i', '?']"
113254,SB,c,['?']
157,SB,c,['+']
265754,S,b,[]
268077,SB,c,['?']
224651,S,b,['?']
10171,S,b,[]
161436,SB,c,['m']
230803,E,c,[]
70604,SB,c,[]
265787,S,c,"['o', '?']"
112007,S,d,['?']
265411,SB,c,[]
159222,SB,b,['r']
93273,S,c,[]
227375,S,b,['?']
36705,S,c,[]
217825,S,c,['?']
240790,E,c,[]
49043,S,b,"['m', '?']"
124558,S,c,[]
61532,S,b,['r']
206579,S,c,['+']
174830,S,b,['+']
101426,E,c,[]
159175,S,b,['+']
101614,SB,b,[]
188122,S,c,[]
130691,S,b,['?']
118577,SB,b,['r']
3027,S,c,['?']
100064,S,b,[]
63995,S,b,['d']
214932,S,c,['+']
42,S,c,['?']
158664,E,c,[]
167877,SB,b,['r']
62685,SB,b,['r']
222994,S,b,[]
52454,S,b,['+']
177052,S,b,[]
264052,S,c,[]
219767,S,c,[]
271182,S,c,[]
92346,S,d,['i']
137379,S,c,['?']
183671,S,c,['?']
155216,S,b,[]
176385,S,c,['?']
53057,SB,b,[]
208448,S,b,[]
281753,E,c,[]
187087,SB,c,['?']
240381,SB,b,['+']
271141,E,c,[]
135586,S,c,[]
223449,SB,b,[]
59216,E,c,[]
127176,S,b,['d']
192974,S,b,[]
177240,SB,b,[]
171426,SB,c,[]
30251,S,b,['r']
280976,S,b,['r']
122509,SB,b,[]
167753,S,b,['r']
113513,S,c,[]
64773,S,c,['?']
65557,S,b,['r']
80029,S,c,[]
113237,S,b,[]
178958,S,a,['r']
149185,SB,c,[]
128632,E,c,[]
157762,SB,b,[]
291396,SB,b,['r']
209823,S,d,"['o', '?']"
226470,S,c,['?']
256659,E,c,[]
72000,S,b,['?']
164183,S,b,['?']
224098,S,c,['?']
14713,SB,b,['+']
152680,S,c,[]
203505,S,b,['?']
136495,S,c,['+']
62591,S,c,['?']
238606,S,d,['?']
112411,SB,d,[]
49490,S,b,[]
9689,S,b,['?']
140251,S,b,['?']
35046,S,c,"['i', '?']"
114671,S,b,['?']
252747,S,b,"['d', '?']"
172376,S,b,[]
263296,S,b,['+']
127439,S,c,"['m', '?']"
271561,SB,b,[]
135370,S,c,['?']
148472,SB,b,['+']
257291,S,c,[]
169296,S,c,['?']
105616,S,b,['?']
53436,S,c,[]
172941,E,c,[]
128118,S,c,[]
207422,S,b,[]
83641,S,b,['?']
100517,S,b,['+']
205159,S,c,[]
19896,E,c,[]
78208,SB,c,[]
60904,S,b,['r']
27691,S,c,[]
43818,SB,c,['r']
72819,S,c,['+']
66995,SB,c,['+']
165405,S,b,['?']
139891,S,c,[]
123973,S,b,['?']
149103,S,c,[]
139181,SB,b,[]
137922,E,c,[]
183905,S,c,[]
214814,S,d,['?']
117416,S,b,['r']
177266,S,c,['+']
141823,S,b,['r']
239259,S,c,['d']
55261,SB,c,[]
237268,S,a,"['i', '?']"
268286,S,d,"['o', '+']"
66292,SB,c,[]
6558,S,b,['?']
115891,S,b,['r']
155654,SB,b,[]
1960,SB,b,['+']
197187,S,b,[]
93683,S,b,['+']
198857,SB,b,[]
91902,S,b,[]
53695,SB,b,['+']
263898,SB,c,[]
98740,E,c,[]
266777,SB,b,[]
235161,SB,c,[]
47970,SB,b,[]
247572,S,b,['?']
134681,S,b,[]
114968,S,b,['?']
230531,S,b,['r']
30355,S,c,[]
98777,SB,c,['?']
75729,S,c,['+']
103622,E,c,[]
73347,SB,c,['+']
268221,S,c,['?']
196715,E,c,[]
226670,S,b,['+']
266878,S,d,['i']
204960,SB,b,['+']
214434,S,b,['?']
128465,S,c,['?']
287217,SB,b,[]
250003,S,c,[]
142019,S,c,[]
711,S,b,['?']
211933,S,b,[]
111842,S,b,[]
235996,S,c,['+']
223428,S,d,['?']
59366,SB,c,[]
161091,S,b,['?']
290162,S,b,['r']
176940,S,c,['+']
18331,S,b,[]
155474,S,b,['?']
185788,S,c,"['r', '?']"
185350,S,b,['?']
273357,S,d,['o']
123194,S,c,[]
93525,S,c,['?']
87949,SB,b,['?']
50064,S,b,"['i', '?']"
172013,S,b,['?']
157320,S,b,[]
1029,S,c,['?']
252965,S,c,[]
155382,S,c,['+']
85405,S,a,['o']
70835,S,b,['?']
76220,S,b,['?']
244813,SB,b,['+']
124799,SB,b,[]
151792,S,c,[]
97141,S,b,['r']
131072,SB,b,['r']
210287,S,c,['+']
293630,S,c,[]
172445,S,b,['d']
185334,S,c,['r']
117156,SB,b,[]
270530,S,b,[]
52907,E,c,[]
239263,SB,a,[]
250371,SB,b,['+']
263419,S,c,['?']
262866,S,c,[]
65549,S,d,['i']
52407,S,b,['?']
270653,E,c,[]
28703,S,c,[]
239300,S,b,['m']
75478,SB,b,['d']
50745,SB,b,['?']
268481,E,c,[]
30270,S,b,['r']
196723,SB,b,[]
158233,S,b,['m']
141910,SB,b,['r']
291023,E,c,[]
64280,E,c,[]
179109,S,c,[]
86249,S,b,['r']
56728,S,c,['+']
179536,S,b,[]
155106,S,d,['i']
91487,S,b,['r']
247330,S,d,"['i', '?']"
84331,SB,c,['?']
10960,SB,b,['?']
161282,S,c,['+']
231661,S,c,[]
87722,S,c,[]
188341,SB,b,['r']
189350,SB,b,"['r', '?']"
7375,SB,c,['?']
98760,S,b,['?']
288359,S,b,['r']
154589,E,c,[]
91915,S,c,"['m', '+']"
32165,S,b,[]
157238,S,c,['?']
93486,S,c,['?']
78342,SB,c,['+']
225293,S,c,['+']
172197,S,b,['r']
98442,SB,c,[]
182019,E,c,[]
248075,S,c,['u']
250837,S,c,['?']
253010,S,b,['i']
169874,S,b,['+']
79190,S,c,['+']
81040,S,b,['?']
120783,S,c,['?']
270925,S,b,['?']
238190,S,c,['?']
203085,E,c,[]
68328,S,b,[]
229097,S,c,['+']
263181,S,b,['?']
173188,SB,c,[]
108834,E,c,[]
254713,S,b,[]
137506,SB,c,[]
221796,S,b,[]
81684,E,c,[]
149544,S,b,[]
175662,SB,b,[]
112629,S,b,['?']
80420,S,c,[]
130376,SB,b,[]
67635,S,c,[]
183688,SB,b,"['r', '?']"
161580,S,b,"['r', '?']"
182059,E,c,[]
107511,S,c,['?']
58456,S,c,[]
49375,SB,c,[]
208970,S,b,['r']
37546,S,c,['r']
174679,S,a,['r']
20414,SB,a,['l']
117947,S,b,['+']
50163,S,a,"['m', '?']"
114982,SB,b,['m']
258541,S,c,[]
150410,S,b,['r']
205981,S,c,['+']
52725,SB,c,[]
143690,S,c,['?']
114686,SB,b,['r']
208114,S,c,['+']
119161,SB,c,['m']
223127,SB,b,[]
184061,SB,c,['?']
134830,S,b,['m']
171231,E,c,[]
196188,SB,c,[]
237203,S,c,[]
195617,S,b,[]
170160,S,b,[]
128886,SB,b,['r']
136823,S,b,['?']
230030,S,b,[]
266453,SB,b,['r']
6880,SB,c,[]
47445,SB,c,[]
102534,S,b,['r']
167729,S,b,['?']
237407,SB,b,['+']
25617,S,b,[]
166919,E,c,[]
261508,S,b,['?']
80865,S,d,['i']
257166,S,c,"['i', '?']"
71757,SB,b,[]
47430,S,c,[]
173117,SB,c,['+']
161772,SB,b,"['r', '?']"
263184,SB,c,['+']
92010,S,c,"['r', '?']"
198348,Unknown,A,[]
123852,S,d,['+']
62458,SB,b,[]
183523,S,b,"['m', '?']"
224372,S,c,['?']
163897,S,c,['+']
116841,S,b,[]
19341,SB,c,[]
158540,S,c,['?']
6542,SB,b,['r']
274432,S,b,[]
221588,S,c,['+']
3709,S,c,['+']
232392,S,b,"['d', '?']"
130018,S,b,['+']
133525,SB,c,[]
253172,S,c,[]
186095,S,c,['?']
64784,S,b,['+']
251601,S,d,['?']
60398,S,c,['+']
281237,SB,c,[]
66042,SB,c,"['r', '?']"
204255,S,b,['?']
117124,E,c,[]
215340,S,b,[]
184973,S,c,[]
223160,S,c,[]
154587,S,b,['r']
664,S,c,['?']
63517,S,b,['?']
119108,S,b,['r']
231384,SB,b,['r']
48686,S,c,[]
13404,S,b,['?']
85101,S,b,['?']
124839,S,c,[]
291236,S,b,['i']
23170,S,c,[]
53741,SB,b,[]
120408,E,c,[]
153153,E,c,[]
46698,S,b,['?']
234150,S,c,[]
200459,SB,c,[]
198013,S,c,[]
45123,S,b,['r']
120845,S,b,[]
213092,S,b,['r']
259113,S,c,[]
55690,SB,b,['?']
168147,S,c,['?']
138603,SB,b,['?']
130473,S,c,['+']
237296,SB,d,['i']
209086,S,c,[]
10470,S,c,[]
108633,SB,c,[]
217257,SB,c,[]
226203,S,b,['?']
127450,S,b,"['o', '?']"
3028,SB,b,['r']
293340,S,c,['?']
245032,SB,c,[]
148577,S,b,[]
45077,S,c,['+']
84137,E,c,[]
28762,S,c,['+']
76870,S,c,['?']
133964,S,c,"['m', '?']"
82480,E,c,[]
240950,S,b,[]
26233,S,b,[]
164131,E,c,[]
86285,S,c,['?']
45955,S,b,['i']
138439,S,c,['+']
253616,S,b,['?']
118211,S,b,[]
54758,S,c,['+']
211728,S,c,['+']
148514,S,c,[]
122547,S,b,['?']
201777,S,b,['r']
258782,SB,c,['?']
269986,S,d,['?']
162899,S,c,['?']
164615,S,b,[]
116986,S,c,[]
106609,SB,b,[]
84811,SB,b,[]
17430,S,b,[]
179705,SB,c,['?']
87069,S,c,['?']
218647,S,c,[]
38793,SB,b,['+']
262941,SB,d,[]
290805,S,c,[]
271666,S,b,['?']
258819,S,b,['m']
285174,S,b,['?']
138049,S,c,[]
238217,SB,c,['o']
84981,S,b,['i']
2902,SB,b,[]
108480,SB,c,[]
258291,S,d,['+']
98949,S,c,['+']
199869,SB,c,['+']
238727,S,b,['?']
21405,SB,b,[]
269865,S,c,['+']
157256,S,b,['d']
118152,SB,b,[]
46917,SB,b,['+']
154673,SB,c,['d']
62705,S,b,[]
65395,S,c,[]
55291,S,b,['?']
41071,S,c,['m']
273762,SB,c,[]
159214,S,c,['?']
89132,SB,b,['r']
85002,SB,c,[]
22226,S,b,[]
108489,SB,b,[]
78053,SB,b,[]
126540,SB,b,['r']
268406,SB,c,[]
118872,S,b,['+']
141404,SB,b,[]
224995,E,c,[]
56138,S,c,['?']
123775,S,c,[]
145271,S,b,[]
204284,SB,c,[]
180612,S,c,['?']
90785,S,c,[]
197232,SB,b,[]
26560,SB,b,[]
237029,S,c,['+']
24064,S,d,['i']
117818,S,c,['+']
124885,S,b,[]
38031,SB,b,['?']
47291,SB,b,['r']
83557,S,c,['?']
93451,S,c,['?']
12193,S,b,['?']
15030,S,b,[]
39426,SB,c,[]
9286,S,c,['?']
119356,SB,b,['d']
110396,E,c,[]
155378,S,c,[]
272336,SB,d,[]
89738,S,b,['?']
197074,SB,c,[]
153465,S,c,['?']
54436,S,c,['?']
152683,S,c,['i']
22541,S,c,[]
91314,S,b,[]
247360,E,c,[]
99110,S,c,['?']
218845,SB,b,[]
199370,S,c,['+']
154528,S,c,[]
130511,S,b,[]
51529,SB,b,[]
72327,S,b,['r']
81756,S,b,['m']
206856,SB,b,[]
93858,S,b,['m']
152492,S,b,[]
272439,SB,c,['+']
134455,SB,b,['r']
272815,SB,d,[]
117583,S,c,['+']
51021,S,b,['?']
63084,S,b,[]
47717,S,b,['r']
36794,SB,b,[]
150746,SB,b,['?']
14299,S,c,['?']
20430,S,c,[]
130334,SB,b,[]
224395,SB,b,"['r', '?']"
31045,S,b,[]
268,S,b,['r']
34653,S,c,[]
26015,S,c,['m']
58315,S,c,['?']
222142,S,d,['?']
214696,SB,c,['+']
55800,S,b,[]
137346,E,c,[]
136555,SB,c,[]
226181,E,c,[]
176812,S,b,['?']
263190,S,c,[]
152885,SB,b,[]
42242,S,c,[]
239548,S,c,[]
264236,S,c,[]
121106,SB,b,[]
34319,S,b,[]
190799,E,c,[]
280975,SB,b,[]
266432,S,c,[]
116400,SB,b,[]
71798,S,c,[]
91404,SB,b,[]
11859,SB,b,[]
274196,SB,b,[]
33900,S,c,['?']
255962,SB,c,[]
236030,S,b,[]
60389,S,b,[]
12153,SB,b,[]
237030,S,b,[]
203273,SB,b,[]
239644,S,b,['?']
48724,S,c,[]
8780,S,c,[]
127495,SB,b,[]
68477,SB,d,['r']
105878,SB,b,['r']
242594,S,a,['r']
136528,SB,c,[]
175815,S,c,['?']
45148,S,c,['+']
197242,E,c,[]
93392,S,b,['r']
109673,S,c,['?']
150113,SB,b,['r']
243235,S,c,['?']
186711,E,c,[]
114888,S,c,['m']
179262,S,c,['+']
242047,S,c,['+']
97431,S,c,['?']
161951,SB,b,['r']
225773,S,b,['?']
213512,SB,d,['m']
237235,SB,b,['o']
107399,S,c,[]
189685,S,c,['?']
92885,S,c,[]
137742,S,c,['+']
236879,S,c,['?']
271535,S,c,['u']
258485,S,d,['o']
105925,SB,c,[]
218877,SB,b,[]
166898,SB,c,[]
37019,S,c,['?']
99192,S,b,['?']
86105,S,c,[]
123036,SB,b,['r']
56148,S,b,['m']
121461,S,c,['?']
207062,S,b,['?']
58286,S,c,[]
176974,S,c,['+']
149783,S,c,['?']
94083,S,b,[]
115937,S,c,['+']
138445,S,b,['m']
204481,SB,b,[]
227812,SB,b,[]
20216,SB,b,[]
213709,SB,c,['m']
61373,S,c,['?']
229350,S,c,['+']
24807,SB,b,[]
239069,SB,b,['+']
137220,S,b,['?']
162228,S,c,['+']
19165,SB,c,[]
123576,S,b,[]
289341,S,c,['+']
167125,SB,c,[]
156962,S,b,['r']
176389,SB,b,['r']
19259,E,c,[]
74173,S,d,['i']
79274,SB,c,['?']
9306,SB,b,[]
177544,S,b,['?']
207342,S,b,[]
222647,SB,b,[]
265613,S,b,['?']
54320,SB,b,[]
201028,S,b,['d']
46688,SB,d,['i']
8254,S,c,['+']
23823,S,b,"['l', '?']"
283231,S,b,[]
374,Unknown,A,[]
197770,E,c,[]
80790,S,d,['?']
187952,SB,b,['r']
269197,S,b,[]
284360,S,c,['+']
29783,S,c,[]
235771,SB,c,[]
158296,S,b,['r']
184471,SB,b,['r']
136548,S,b,['r']
106789,SB,b,['+']
40795,S,d,['?']
120959,S,b,['?']
186609,S,c,['?']
68729,S,a,['m']
65091,SB,c,['?']
170208,SB,b,['r']
30449,SB,b,[]
227777,S,c,['?']
269931,S,d,[]
210654,S,b,['r']
260764,SB,c,[]
78877,S,c,['?']
123051,S,b,[]
231394,S,b,['r']
259444,S,c,[]
118885,S,c,[]
269286,SB,d,[]
157803,E,c,[]
22171,SB,b,['r']
174690,S,c,[]
73662,S,c,['?']
149253,S,c,[]
196335,S,c,[]
106725,S,c,[]
120470,S,c,[]
118578,E,c,[]
113956,S,b,['?']
54624,S,b,['r']
51435,S,b,['r']
256638,S,c,['?']
223026,S,d,['o']
142493,S,b,['r']
25885,S,b,['r']
85487,S,b,[]
183684,S,b,[]
178363,S,b,['?']
125785,S,b,['?']
194332,S,d,['?']
292764,SB,c,['+']
25601,SB,b,['?']
263845,SB,c,[]
206334,SB,b,['?']
88560,SB,b,['?']
114976,S,c,['+']
169235,S,c,[]
2567,S,b,['?']
29762,S,c,['?']
149718,S,b,[]
65365,SB,b,[]
289811,S,c,[]
267939,SB,d,[]
84181,S,c,[]
208248,SB,b,[]
35311,SB,c,[]
112847,E,c,[]
256997,SB,d,[]
51275,S,c,['?']
4955,S,c,[]
36674,S,c,"['o', '?']"
44334,E,c,[]
16,S,c,[]
231035,S,c,"['m', '?']"
150842,SB,b,[]
134911,SB,b,[]
271551,SB,c,['?']
33970,S,b,[]
27250,S,c,['?']
166205,E,c,[]
159621,SB,b,['r']
251127,SB,b,[]
109745,S,c,['+']
174289,S,b,[]
100811,SB,b,['+']
205329,S,b,['r']
9790,S,c,[]
93875,S,c,[]
78510,S,c,[]
112305,SB,b,[]
137201,SB,b,[]
33435,S,c,['r']
115368,S,c,[]
178128,S,b,['?']
30862,S,c,['i']
217549,SB,b,['r']
194983,SB,b,[]
207486,S,b,['m']
153300,S,b,['?']
135817,E,c,[]
287177,SB,c,['?']
